yb_name,ys_name,sail,match
Acadia,ACADIA,USA45002,name
Actaea,ACTAEA,USA3815,name
Avalanche,Avalanche,GBR20,name
Bay Retriever,Bay Retriever,CAN15,name
Cool Change,Cool Change,121,name
Condor,Condor,USA53338,name
Cougar,Cougar,USA4900,name
Daffodil,Daffodil,167,name
Dark Star,Dark Star,262,name
Della Aurora,Della Aurora,USA27,name
Dolcezza,Dolcezza,53,name+sail
Duet,DUET,USA51445,name
Golden-Eye,Golden-Eye,Uni1937,name
Habiru,Habiru YCC,USA61124,sail-only
Hunter,Hunter,USA 2388,name
Inessa II,Inessa II,USA11379,name
Java,Java,279,name
Kitli,Kitli,297,name
Little Texas,Little Texas YCC,USA169,sail-only
Lucky Luke,Lucky Luke,USA 61734,name
Maggie,Maggie,330,name
Max,Max,USA75050,name
Midnight Rider - PMP Strategy,Midnight Rider - PMP Strategy,511,name
Nereus,Nereus,USA61401,name
Nomad,Nomad,USA52968,name
Ohana,Ohana,USA435,name
Pathfinder,PATHFINDER,USA4066,name
Pegasus,Pegasus,USA93367,name
Phantom,Phantom,USA444,name
Piragua,Piragua,086,name
Random,Random,USA51362,name
Ricky Bobby,Ricky Bobby,60570,name
Sanguine,Sanguine,USA100,name
Scapegoat,SCAPEGOAT,USA619,name
Scarlett,Scarlett,Uni332,name
Smoke &Mirrors,Smoke &Mirrors,Unih40/222,name
Sound's Great,Sound's Great,USA60665,name
Surface Tension,Surface Tension,52556,name
Surprise YCC,Surprise YCC,USA61437,name
Swell,Swell,USA60109,name
Terra Nova,Terra Nova,Uni0127,name
The Rocc YCC,The Rocc YCC,64,name
Towhee,Towhee,USA1781,name
Unbreakable,Unbreakable YCC,306,sail-only
Vamonos,Vamonos,USA1910,name
Wahoo,Wahoo,USA52599,name
Wanderer,WANDERER,181,name
Windancer,Windancer,USA25,name
Yopo,Yopo,103,name
COMMITTEE BOAT,,,UNMATCHED-YB
,ALLEA,USA38S5,UNMATCHED-YS
,Charlotte,USA46650,UNMATCHED-YS
,Co-Conspirator,USA48,UNMATCHED-YS
,Dire Wolf,USA12204,UNMATCHED-YS
,Donna Ann,N/A,UNMATCHED-YS
,First Rate,40819,UNMATCHED-YS
,Katara YCC,United States61577,UNMATCHED-YS
,Lark,USA61884,UNMATCHED-YS
,Patriot,343,UNMATCHED-YS
,Planet Clare,Uni57,UNMATCHED-YS
,Ragana - ORC,USA52238,UNMATCHED-YS
,Ranger,USA61683,UNMATCHED-YS
,Silver Lining,USA049,UNMATCHED-YS
,Velocita,HKG2101,UNMATCHED-YS
,Veronique,60141,UNMATCHED-YS
,Yankee Boy,USA 52524,UNMATCHED-YS
,Wind Song,USA6145,UNMATCHED-YS
,Shooting Star,USA20802,UNMATCHED-YS
,Imagine,USA108,UNMATCHED-YS
,Maestrale,113,UNMATCHED-YS
,Abilyn,USA25559,UNMATCHED-YS
,Halve Maen,USA075,UNMATCHED-YS
,Liberty,USA 61565,UNMATCHED-YS
,Rocksteady,USA60492,UNMATCHED-YS
